ID,Age,Gender,Residence.Ownership,number.of.dependants,status
178,41,MALE,PARENTS,4,GOOD
179,37,FEMALE,OWNED,5,GOOD
180,45,MALE,OWNED,4,GOOD
181,42,FEMALE,RENT,3,BAD
182,41,MALE,OWNED,1,GOOD
183,32,MALE,OWNED,5,GOOD
184,41,MALE,OWNED,5,BAD
185,40,FEMALE,OWNED,5,GOOD
186,30,FEMALE,OWNED,1,GOOD
187,41,FEMALE,RENT,1,GOOD
188,23,MALE,OWNED,2,GOOD
189,31,MALE,RENT,0,GOOD
190,38,FEMALE,OWNED,5,GOOD
191,34,MALE,RENT,0,GOOD
192,33,FEMALE,OWNED,3,GOOD
193,40,FEMALE,RENT,0,GOOD
194,42,FEMALE,RENT,4,BAD
195,35,MALE,OWNED,0,GOOD
196,39,FEMALE,OWNED,0,GOOD
197,34,MALE,OWNED,5,BAD
198,37,MALE,RENT,3,BAD
199,29,MALE,RENT,0,GOOD
200,30,MALE,OWNED,0,GOOD
201,35,MALE,OWNED,0,BAD
202,26,MALE,OWNED,0,GOOD
203,27,FEMALE,OWNED,0,GOOD
204,27,MALE,OWNED,1,GOOD
205,34,MALE,OWNED,0,GOOD
206,26,FEMALE,PARENTS,0,GOOD
207,23,MALE,PARENTS,5,BAD
208,40,MALE,OWNED,1,GOOD
209,35,MALE,OWNED,3,BAD
210,29,MALE,OWNED,4,GOOD
211,42,FEMALE,OWNED,0,GOOD
212,31,FEMALE,OWNED,4,GOOD
213,28,FEMALE,OWNED,3,GOOD
214,44,FEMALE,RENT,4,BAD
215,40,MALE,RENT,1,BAD
216,40,MALE,OWNED,5,GOOD
217,44,FEMALE,RENT,5,BAD
218,33,MALE,OWNED,2,BAD
219,25,FEMALE,PARENTS,0,GOOD
220,43,MALE,OTHERS,2,BAD
221,38,MALE,RENT,5,BAD
222,45,FEMALE,OWNED,1,GOOD
223,29,MALE,RENT,5,BAD
224,43,MALE,RENT,4,BAD
225,36,MALE,OWNED,3,GOOD
226,39,MALE,OTHERS,5,GOOD
227,32,MALE,RENT,2,GOOD
228,36,MALE,OTHERS,2,BAD
229,44,MALE,OWNED,3,BAD
230,37,FEMALE,PARENTS,1,GOOD
231,43,MALE,OWNED,3,GOOD
232,36,FEMALE,OTHERS,1,GOOD
233,40,FEMALE,OWNED,2,GOOD
234,27,FEMALE,OWNED,0,GOOD
235,32,MALE,RENT,1,GOOD
236,35,MALE,OTHERS,5,GOOD
237,43,MALE,RENT,3,BAD
238,34,FEMALE,OWNED,2,GOOD
239,36,MALE,OWNED,2,GOOD
240,41,MALE,RENT,4,BAD
241,39,FEMALE,PARENTS,2,GOOD
242,33,MALE,OWNED,1,BAD
243,26,MALE,OTHERS,0,GOOD
244,43,MALE,OWNED,0,GOOD
245,29,FEMALE,OWNED,1,GOOD
246,35,FEMALE,PARENTS,5,GOOD
247,35,FEMALE,OWNED,3,GOOD
248,45,MALE,OWNED,2,GOOD
249,41,MALE,RENT,2,GOOD
250,29,MALE,OTHERS,1,BAD
251,37,FEMALE,OWNED,5,GOOD
252,41,MALE,OWNED,2,GOOD
253,24,FEMALE,PARENTS,0,GOOD
254,32,FEMALE,RENT,5,GOOD
255,34,FEMALE,PARENTS,0,BAD
256,37,MALE,RENT,2,BAD
257,18,MALE,PARENTS,4,BAD
258,41,FEMALE,OWNED,4,GOOD
259,28,FEMALE,PARENTS,5,BAD
260,38,FEMALE,PARENTS,1,GOOD
261,38,FEMALE,OWNED,3,GOOD
262,29,MALE,OTHERS,4,BAD
263,26,MALE,OWNED,0,GOOD
264,31,MALE,RENT,5,BAD
265,32,MALE,RENT,4,BAD
266,38,MALE,OWNED,1,GOOD
267,30,FEMALE,OWNED,0,GOOD
268,36,MALE,RENT,1,GOOD
269,42,MALE,OWNED,1,GOOD
270,32,MALE,RENT,5,BAD
271,24,FEMALE,RENT,0,GOOD
272,35,MALE,OTHERS,1,GOOD
273,35,MALE,OTHERS,5,BAD
274,48,MALE,OWNED,0,GOOD
275,33,FEMALE,RENT,3,GOOD
276,29,MALE,OWNED,0,GOOD
277,33,FEMALE,OTHERS,1,GOOD
278,42,MALE,OWNED,5,GOOD
279,25,FEMALE,OWNED,1,BAD
280,31,MALE,PARENTS,5,GOOD
281,33,FEMALE,OTHERS,1,GOOD
282,40,FEMALE,RENT,5,BAD
283,37,MALE,RENT,0,GOOD
284,38,MALE,OWNED,3,GOOD
285,40,MALE,OTHERS,1,BAD
286,37,MALE,OTHERS,5,GOOD
287,36,FEMALE,OWNED,3,GOOD
288,38,MALE,OWNED,1,GOOD
289,40,FEMALE,OWNED,2,GOOD
290,33,FEMALE,OWNED,5,GOOD
291,36,MALE,OWNED,0,GOOD
292,40,FEMALE,RENT,3,GOOD
293,34,FEMALE,RENT,2,GOOD
294,53,FEMALE,OWNED,2,GOOD
295,42,MALE,OTHERS,1,BAD
296,35,MALE,RENT,1,GOOD
297,35,MALE,RENT,0,BAD
298,31,MALE,PARENTS,1,BAD
299,34,FEMALE,OWNED,1,GOOD
300,34,FEMALE,OWNED,4,BAD
301,49,FEMALE,OWNED,1,GOOD
302,42,MALE,OTHERS,0,BAD
303,45,FEMALE,OWNED,0,GOOD
304,28,FEMALE,OWNED,0,GOOD
305,36,MALE,RENT,3,GOOD
306,27,MALE,OWNED,0,BAD
307,39,MALE,RENT,3,GOOD
308,35,MALE,OWNED,5,BAD
309,33,FEMALE,RENT,0,GOOD
310,27,FEMALE,RENT,0,GOOD
311,41,MALE,RENT,5,BAD
312,33,MALE,OTHERS,0,GOOD
313,34,FEMALE,RENT,2,GOOD
314,26,MALE,OWNED,1,GOOD
315,40,MALE,OTHERS,5,GOOD
316,43,FEMALE,OWNED,1,GOOD
317,36,MALE,RENT,5,BAD
318,41,MALE,PARENTS,3,GOOD
319,30,FEMALE,OWNED,4,BAD
320,37,FEMALE,OTHERS,0,GOOD
321,41,MALE,RENT,5,GOOD
322,37,MALE,OWNED,0,GOOD
323,26,MALE,OTHERS,0,BAD
324,36,FEMALE,RENT,3,GOOD
325,50,MALE,OWNED,0,GOOD
326,37,FEMALE,RENT,2,BAD
327,40,MALE,OWNED,4,BAD
328,45,FEMALE,OWNED,3,GOOD
329,32,MALE,OWNED,0,BAD
330,38,FEMALE,OWNED,2,GOOD
331,30,MALE,OWNED,5,GOOD
332,25,FEMALE,OWNED,0,GOOD
333,29,FEMALE,OTHERS,1,BAD
334,49,FEMALE,OWNED,5,GOOD
335,38,MALE,OWNED,4,BAD
336,30,MALE,OWNED,0,GOOD
337,42,MALE,RENT,0,BAD
338,40,MALE,RENT,4,BAD
339,34,FEMALE,OWNED,5,GOOD
340,36,FEMALE,RENT,3,GOOD
341,39,MALE,OWNED,0,GOOD
342,40,MALE,RENT,2,GOOD
343,39,FEMALE,RENT,4,GOOD
344,28,MALE,RENT,1,BAD
345,30,FEMALE,OWNED,3,GOOD
346,30,MALE,OWNED,0,GOOD
347,32,MALE,OWNED,0,GOOD
348,40,MALE,RENT,3,BAD
349,34,FEMALE,RENT,2,BAD
350,38,FEMALE,OWNED,2,GOOD
351,27,MALE,RENT,0,GOOD
352,38,MALE,RENT,0,GOOD
353,32,FEMALE,PARENTS,5,GOOD
354,46,FEMALE,OWNED,2,GOOD
355,21,MALE,RENT,1,GOOD
356,35,FEMALE,PARENTS,1,GOOD
357,45,FEMALE,RENT,3,BAD
358,44,MALE,OWNED,2,GOOD
359,41,FEMALE,RENT,1,GOOD
360,28,MALE,PARENTS,1,BAD
361,29,MALE,OWNED,0,GOOD
362,30,MALE,OWNED,2,GOOD
363,31,MALE,RENT,3,BAD
364,37,MALE,OWNED,5,BAD
365,29,MALE,OWNED,1,GOOD
366,37,MALE,RENT,3,BAD
367,43,MALE,RENT,5,GOOD
368,41,FEMALE,OWNED,3,GOOD
369,30,FEMALE,OTHERS,0,GOOD
370,40,FEMALE,OWNED,1,GOOD
371,46,FEMALE,OWNED,2,GOOD
372,41,MALE,OWNED,5,GOOD
373,29,FEMALE,OWNED,4,BAD
374,41,FEMALE,OWNED,1,GOOD
375,41,FEMALE,OWNED,1,GOOD
376,39,MALE,RENT,0,GOOD
377,35,MALE,OWNED,1,GOOD
378,25,MALE,RENT,1,BAD
379,44,MALE,OWNED,2,GOOD
380,35,FEMALE,OWNED,2,GOOD
381,27,MALE,OWNED,1,GOOD
382,31,MALE,RENT,4,BAD
383,22,FEMALE,OWNED,1,GOOD
384,37,MALE,OWNED,4,BAD
385,33,MALE,RENT,4,BAD
386,27,MALE,OWNED,1,GOOD
387,27,MALE,OWNED,1,GOOD
388,42,MALE,RENT,1,BAD
389,35,FEMALE,PARENTS,1,GOOD
390,39,FEMALE,OWNED,0,GOOD
391,44,MALE,OWNED,0,GOOD
392,28,MALE,OTHERS,1,BAD
393,29,MALE,OWNED,5,BAD
394,35,FEMALE,OWNED,2,GOOD
395,42,MALE,OWNED,4,GOOD
396,36,MALE,RENT,5,BAD
397,37,MALE,OWNED,4,GOOD
398,31,FEMALE,RENT,4,BAD
399,39,MALE,OWNED,4,BAD
400,35,MALE,OWNED,0,GOOD
401,27,FEMALE,RENT,0,GOOD
402,31,MALE,OTHERS,2,BAD
403,27,MALE,OWNED,1,GOOD
404,36,FEMALE,OWNED,1,GOOD
405,24,MALE,RENT,1,GOOD
406,44,MALE,RENT,0,GOOD
407,39,FEMALE,OTHERS,1,GOOD
408,43,MALE,OWNED,0,GOOD
409,38,MALE,OWNED,3,GOOD
410,35,MALE,OWNED,4,BAD
411,32,MALE,OTHERS,4,BAD
412,33,MALE,OWNED,1,GOOD
413,40,MALE,OTHERS,3,BAD
414,32,MALE,RENT,0,GOOD
415,26,MALE,RENT,0,BAD
416,37,MALE,OWNED,5,GOOD
417,38,MALE,OTHERS,1,GOOD
418,41,FEMALE,RENT,0,GOOD
419,31,FEMALE,OTHERS,0,GOOD
420,36,MALE,PARENTS,2,GOOD
421,28,FEMALE,RENT,5,BAD
422,40,FEMALE,OTHERS,0,GOOD
423,27,MALE,PARENTS,0,GOOD
424,34,FEMALE,OWNED,4,GOOD
425,28,FEMALE,OWNED,1,GOOD
426,43,MALE,OWNED,0,GOOD
427,45,MALE,OWNED,3,GOOD
428,41,MALE,RENT,2,BAD
429,42,FEMALE,PARENTS,1,GOOD
430,37,FEMALE,OWNED,4,GOOD
431,31,MALE,RENT,1,BAD
432,38,FEMALE,RENT,1,BAD
433,34,MALE,RENT,1,BAD
434,28,MALE,OWNED,0,GOOD
435,20,MALE,PARENTS,0,BAD
436,36,MALE,RENT,3,BAD
437,32,MALE,OWNED,2,GOOD
438,25,MALE,OWNED,0,GOOD
439,37,FEMALE,OWNED,4,GOOD
440,42,FEMALE,RENT,4,BAD
441,36,FEMALE,PARENTS,5,GOOD
442,42,FEMALE,RENT,1,BAD
443,31,MALE,OWNED,1,GOOD
444,40,FEMALE,OWNED,0,GOOD
445,37,MALE,RENT,5,BAD
446,32,MALE,OWNED,4,BAD
447,32,MALE,OWNED,0,GOOD
448,31,MALE,RENT,5,BAD
449,36,FEMALE,PARENTS,0,GOOD
450,22,MALE,OWNED,0,GOOD
451,33,MALE,OWNED,5,GOOD
452,36,FEMALE,PARENTS,0,GOOD
453,26,MALE,OWNED,2,BAD
454,35,FEMALE,OWNED,5,GOOD
455,37,MALE,OWNED,1,GOOD
456,29,MALE,OWNED,0,GOOD
457,33,FEMALE,OWNED,1,GOOD
458,31,MALE,OTHERS,4,BAD
459,36,MALE,OWNED,2,BAD
460,39,FEMALE,PARENTS,0,GOOD
461,29,FEMALE,RENT,1,GOOD
462,33,MALE,OWNED,5,BAD
463,37,MALE,RENT,0,GOOD
464,31,MALE,RENT,1,BAD
465,33,FEMALE,OWNED,3,GOOD
466,31,MALE,RENT,2,GOOD
467,29,MALE,RENT,0,BAD
468,40,MALE,RENT,1,GOOD
469,30,MALE,RENT,0,GOOD
470,29,FEMALE,OWNED,3,GOOD
471,33,MALE,OWNED,0,GOOD
472,37,MALE,RENT,4,BAD
473,32,MALE,PARENTS,0,GOOD
474,30,MALE,OWNED,5,BAD
475,40,FEMALE,OTHERS,5,BAD
476,28,MALE,PARENTS,0,GOOD
477,35,MALE,OWNED,2,GOOD
478,40,MALE,OWNED,1,GOOD
479,44,FEMALE,OWNED,1,GOOD
480,37,MALE,OWNED,3,GOOD
481,39,MALE,RENT,3,BAD
482,37,FEMALE,RENT,4,BAD
483,32,FEMALE,RENT,3,BAD
484,34,MALE,OWNED,1,GOOD
485,33,FEMALE,OWNED,1,GOOD
486,29,FEMALE,RENT,5,BAD
487,22,MALE,RENT,1,BAD
488,39,FEMALE,OWNED,0,GOOD
489,29,MALE,OWNED,0,GOOD
490,40,MALE,OTHERS,2,BAD
491,34,MALE,OWNED,5,GOOD
492,32,FEMALE,OWNED,1,GOOD
493,34,MALE,OTHERS,3,BAD
494,31,FEMALE,OWNED,1,GOOD
495,40,MALE,OTHERS,2,BAD
496,47,MALE,RENT,4,GOOD
497,31,MALE,OTHERS,1,GOOD
498,36,FEMALE,OWNED,0,GOOD
499,30,MALE,RENT,0,BAD
500,41,MALE,OWNED,0,GOOD
501,43,MALE,RENT,2,BAD
502,30,MALE,RENT,0,BAD
503,28,MALE,OWNED,5,GOOD
504,42,FEMALE,OWNED,5,GOOD
505,20,MALE,PARENTS,1,GOOD
506,47,MALE,OWNED,2,GOOD
507,40,MALE,OTHERS,4,GOOD
508,37,FEMALE,OTHERS,1,GOOD
509,38,MALE,PARENTS,1,GOOD
510,31,MALE,RENT,2,BAD
511,38,MALE,OTHERS,2,BAD
512,44,MALE,OWNED,5,BAD
513,39,MALE,PARENTS,0,GOOD
514,36,MALE,RENT,0,GOOD
515,44,FEMALE,OWNED,5,GOOD
516,34,FEMALE,RENT,4,BAD
517,29,FEMALE,RENT,5,GOOD
518,37,MALE,PARENTS,1,GOOD
519,32,MALE,OWNED,3,GOOD
520,37,MALE,OTHERS,3,BAD
521,29,MALE,RENT,0,BAD
522,34,FEMALE,PARENTS,3,GOOD
523,24,MALE,PARENTS,0,BAD
524,37,FEMALE,OWNED,0,GOOD
525,36,FEMALE,PARENTS,0,GOOD
526,32,FEMALE,OWNED,4,GOOD
527,49,FEMALE,OWNED,1,GOOD
528,37,FEMALE,RENT,2,BAD
529,39,FEMALE,OWNED,5,GOOD
530,29,MALE,RENT,3,GOOD
531,25,FEMALE,OWNED,0,GOOD
532,20,MALE,RENT,0,BAD
533,42,FEMALE,RENT,1,BAD
534,22,MALE,PARENTS,0,GOOD
535,37,FEMALE,OWNED,5,BAD
536,37,FEMALE,OWNED,3,GOOD
537,38,FEMALE,RENT,4,BAD
538,44,MALE,OWNED,5,GOOD
539,32,MALE,OWNED,5,GOOD
540,36,MALE,PARENTS,0,GOOD
541,37,MALE,RENT,0,GOOD
542,34,MALE,OWNED,5,GOOD
543,37,MALE,RENT,1,BAD
544,32,MALE,OWNED,4,BAD
545,28,FEMALE,OWNED,0,GOOD
546,34,MALE,OWNED,2,BAD
547,42,FEMALE,RENT,0,GOOD
548,40,FEMALE,OWNED,1,GOOD
549,29,FEMALE,OWNED,0,GOOD
550,39,FEMALE,OWNED,1,GOOD
551,30,MALE,PARENTS,5,BAD
552,45,MALE,OWNED,4,GOOD
553,31,MALE,RENT,3,BAD
554,29,FEMALE,OWNED,1,GOOD
555,39,FEMALE,RENT,4,BAD
556,42,MALE,PARENTS,2,BAD
557,44,MALE,OWNED,4,GOOD
558,33,MALE,RENT,4,BAD
559,32,MALE,OWNED,4,BAD
560,25,FEMALE,OWNED,5,GOOD
561,35,FEMALE,RENT,1,GOOD
562,35,MALE,OWNED,2,GOOD
563,39,MALE,OTHERS,4,BAD
564,35,MALE,PARENTS,2,GOOD
565,29,FEMALE,RENT,0,GOOD
566,36,MALE,RENT,2,BAD
567,44,FEMALE,OWNED,0,GOOD
568,35,MALE,PARENTS,1,GOOD
569,33,MALE,PARENTS,1,BAD
570,30,MALE,RENT,1,GOOD
571,35,MALE,OWNED,0,GOOD
572,46,MALE,OWNED,3,GOOD
573,52,FEMALE,OWNED,2,GOOD
574,30,FEMALE,PARENTS,0,BAD
575,22,MALE,RENT,1,BAD
576,41,FEMALE,OTHERS,5,GOOD
577,38,MALE,RENT,2,BAD
578,32,FEMALE,OWNED,4,GOOD
579,40,FEMALE,PARENTS,2,GOOD
580,30,MALE,OWNED,0,GOOD
581,31,MALE,OTHERS,5,GOOD
582,33,FEMALE,OWNED,3,GOOD
583,35,MALE,OWNED,3,BAD
584,26,MALE,RENT,1,BAD
585,32,FEMALE,OWNED,3,GOOD
586,33,FEMALE,PARENTS,5,BAD
587,46,FEMALE,OWNED,4,GOOD
588,34,MALE,OWNED,2,BAD
589,36,MALE,RENT,1,GOOD
590,45,FEMALE,PARENTS,3,GOOD
591,36,MALE,OWNED,0,GOOD
592,38,FEMALE,RENT,0,BAD
593,36,MALE,OWNED,1,GOOD
594,36,FEMALE,RENT,0,GOOD
595,28,FEMALE,OWNED,4,GOOD
596,33,FEMALE,OWNED,5,GOOD
597,51,MALE,PARENTS,0,GOOD
598,44,FEMALE,OWNED,1,GOOD
599,49,FEMALE,RENT,0,GOOD
600,40,MALE,OWNED,5,GOOD
601,35,FEMALE,OWNED,0,GOOD
602,28,FEMALE,OWNED,2,GOOD
603,32,MALE,OTHERS,0,GOOD
604,34,FEMALE,OWNED,2,GOOD
605,28,MALE,RENT,2,BAD
606,26,FEMALE,OWNED,1,GOOD
607,39,FEMALE,RENT,1,GOOD
608,38,MALE,OWNED,3,BAD
609,34,MALE,OTHERS,2,GOOD
610,37,FEMALE,RENT,3,GOOD
611,32,MALE,OWNED,1,GOOD
612,35,FEMALE,RENT,2,GOOD
613,37,MALE,OWNED,0,GOOD
614,28,MALE,RENT,0,BAD
615,25,FEMALE,OWNED,0,GOOD
616,40,MALE,PARENTS,0,BAD
617,42,MALE,OWNED,5,BAD
618,20,FEMALE,PARENTS,1,GOOD
619,42,MALE,RENT,1,BAD
620,36,FEMALE,PARENTS,1,GOOD
621,37,FEMALE,RENT,3,BAD
622,22,MALE,PARENTS,0,GOOD
623,38,FEMALE,OWNED,3,GOOD
624,25,MALE,PARENTS,4,BAD
625,37,MALE,RENT,2,BAD
626,39,MALE,RENT,3,BAD
627,38,MALE,OWNED,4,GOOD
628,36,FEMALE,RENT,3,BAD
629,38,FEMALE,OWNED,2,GOOD
630,33,FEMALE,OWNED,0,GOOD
631,35,FEMALE,OTHERS,3,GOOD
632,48,FEMALE,OWNED,3,GOOD
633,37,FEMALE,OWNED,4,GOOD
634,37,FEMALE,OTHERS,4,BAD
635,31,MALE,RENT,4,BAD
636,35,MALE,OTHERS,1,GOOD
637,29,MALE,OWNED,4,GOOD
638,32,FEMALE,OWNED,5,BAD
639,37,FEMALE,OWNED,3,GOOD
640,33,MALE,OWNED,5,GOOD
641,33,MALE,OWNED,1,GOOD
642,37,MALE,RENT,4,BAD
643,30,FEMALE,RENT,3,BAD
644,31,FEMALE,PARENTS,2,GOOD
645,33,MALE,OWNED,5,BAD
646,47,FEMALE,RENT,1,GOOD
647,35,MALE,OWNED,1,GOOD
648,35,MALE,OTHERS,4,GOOD
649,38,MALE,OWNED,1,GOOD
650,33,FEMALE,RENT,3,GOOD
651,36,MALE,OWNED,4,GOOD
652,45,MALE,OWNED,4,GOOD
653,34,FEMALE,OWNED,4,GOOD
654,31,MALE,RENT,5,GOOD
655,29,MALE,RENT,1,BAD
656,39,MALE,OWNED,5,BAD
657,38,MALE,RENT,2,BAD
658,45,MALE,RENT,5,BAD
659,32,MALE,RENT,4,BAD
660,40,MALE,OWNED,3,BAD
661,32,FEMALE,OWNED,5,GOOD
662,25,MALE,OWNED,1,BAD
663,37,FEMALE,RENT,5,BAD
664,25,MALE,OWNED,0,GOOD
665,36,MALE,RENT,4,BAD
666,37,FEMALE,OTHERS,2,GOOD
667,29,MALE,RENT,0,BAD
668,56,MALE,OWNED,1,GOOD
669,35,MALE,RENT,2,BAD
670,34,FEMALE,RENT,5,GOOD
671,28,MALE,PARENTS,1,BAD
672,32,FEMALE,OWNED,3,GOOD
673,44,MALE,OWNED,0,GOOD
674,41,MALE,OWNED,0,GOOD
675,40,MALE,OWNED,4,GOOD
676,26,MALE,RENT,0,BAD
677,39,FEMALE,RENT,0,GOOD
678,30,MALE,OTHERS,1,BAD
679,24,MALE,PARENTS,1,GOOD
680,28,MALE,OWNED,1,BAD
681,44,FEMALE,OWNED,2,GOOD
682,36,FEMALE,RENT,4,BAD
