ID,Age,Gender,Residence.Ownership,number.of.dependants,status
126,32,MALE,PARENTS,2,GOOD
127,36,MALE,RENT,3,BAD
128,36,MALE,PARENTS,5,GOOD
129,28,FEMALE,OWNED,1,GOOD
130,22,MALE,RENT,1,BAD
131,28,FEMALE,OTHERS,0,BAD
132,32,FEMALE,RENT,2,GOOD
133,41,MALE,OTHERS,2,GOOD
134,34,MALE,OTHERS,3,BAD
135,36,MALE,OWNED,1,GOOD
136,38,FEMALE,OWNED,4,GOOD
137,37,MALE,OWNED,3,GOOD
138,34,MALE,OTHERS,1,BAD
139,46,FEMALE,RENT,4,BAD
140,40,MALE,OWNED,5,GOOD
141,30,MALE,OWNED,3,GOOD
142,26,MALE,RENT,0,BAD
143,35,FEMALE,RENT,4,BAD
144,50,MALE,OWNED,1,GOOD
145,42,FEMALE,RENT,1,GOOD
146,20,FEMALE,OWNED,1,GOOD
147,40,MALE,OWNED,3,GOOD
148,24,MALE,RENT,0,BAD
149,37,FEMALE,OWNED,1,GOOD
150,33,FEMALE,RENT,0,GOOD
151,28,MALE,OWNED,0,GOOD
152,23,MALE,PARENTS,0,GOOD
153,38,MALE,OTHERS,1,BAD
154,33,MALE,PARENTS,1,GOOD
155,24,MALE,RENT,1,BAD
156,38,MALE,RENT,3,BAD
157,27,FEMALE,RENT,0,GOOD
158,40,MALE,OWNED,5,GOOD
159,25,MALE,OWNED,0,BAD
160,31,MALE,RENT,4,BAD
161,37,MALE,OTHERS,3,BAD
162,40,FEMALE,RENT,4,BAD
163,34,FEMALE,PARENTS,5,GOOD
164,32,MALE,PARENTS,1,GOOD
165,40,FEMALE,OTHERS,3,GOOD
166,41,FEMALE,RENT,4,GOOD
167,29,MALE,OWNED,0,GOOD
168,38,MALE,RENT,3,BAD
169,30,MALE,OWNED,0,GOOD
170,36,MALE,OWNED,5,BAD
171,33,FEMALE,RENT,4,BAD
172,45,FEMALE,PARENTS,1,GOOD
173,41,MALE,OWNED,4,GOOD
174,34,FEMALE,RENT,2,GOOD
175,30,MALE,OTHERS,4,BAD
176,33,MALE,RENT,4,BAD
177,38,MALE,OWNED,5,BAD
178,27,FEMALE,RENT,1,BAD
179,34,MALE,OWNED,2,GOOD
180,40,MALE,OWNED,1,GOOD
181,45,FEMALE,RENT,3,GOOD
182,29,MALE,OTHERS,1,BAD
183,30,FEMALE,PARENTS,2,BAD
184,41,MALE,RENT,4,BAD
185,27,FEMALE,RENT,0,GOOD
186,37,MALE,RENT,4,GOOD
187,30,FEMALE,PARENTS,5,GOOD
188,41,FEMALE,OWNED,5,GOOD
189,32,FEMALE,RENT,0,GOOD
190,32,FEMALE,OWNED,0,GOOD
191,28,MALE,OWNED,1,GOOD
192,31,MALE,OWNED,0,GOOD
193,29,FEMALE,OTHERS,2,GOOD
194,36,FEMALE,RENT,3,BAD
195,30,MALE,OWNED,4,BAD
196,28,MALE,RENT,0,BAD
197,26,MALE,RENT,0,GOOD
198,37,FEMALE,OWNED,2,GOOD
199,39,MALE,OWNED,5,BAD
200,28,MALE,OWNED,5,BAD
201,39,FEMALE,OWNED,4,GOOD
202,32,FEMALE,OWNED,3,GOOD
203,39,MALE,OWNED,4,BAD
204,51,FEMALE,OWNED,2,GOOD
205,40,MALE,OWNED,1,GOOD
206,40,FEMALE,RENT,1,GOOD
207,49,FEMALE,OWNED,4,GOOD
208,33,FEMALE,OWNED,0,GOOD
209,34,FEMALE,PARENTS,4,BAD
210,41,FEMALE,OTHERS,2,GOOD
211,23,MALE,OWNED,0,GOOD
212,37,MALE,RENT,1,BAD
213,36,FEMALE,OTHERS,3,GOOD
214,33,FEMALE,OWNED,1,GOOD
215,24,MALE,RENT,0,BAD
216,23,MALE,OWNED,1,BAD
217,30,MALE,OWNED,0,GOOD
218,46,FEMALE,OWNED,4,GOOD
219,31,FEMALE,RENT,5,GOOD
220,28,MALE,OWNED,2,GOOD
221,28,MALE,RENT,1,BAD
222,36,MALE,OTHERS,0,GOOD
223,39,FEMALE,RENT,0,BAD
224,35,FEMALE,PARENTS,5,BAD
225,24,MALE,OWNED,1,GOOD
226,31,FEMALE,PARENTS,3,GOOD
227,28,MALE,OTHERS,1,GOOD
228,41,MALE,OWNED,2,GOOD
229,40,MALE,PARENTS,5,GOOD
230,24,MALE,OWNED,1,GOOD
231,41,MALE,RENT,3,BAD
232,20,MALE,PARENTS,4,GOOD
233,28,MALE,OWNED,3,BAD
234,32,MALE,OWNED,3,BAD
235,31,FEMALE,PARENTS,2,GOOD
236,39,FEMALE,OWNED,4,GOOD
237,44,MALE,RENT,0,GOOD
238,35,FEMALE,PARENTS,0,GOOD
239,40,MALE,RENT,2,BAD
240,39,MALE,PARENTS,0,GOOD
241,36,FEMALE,OWNED,3,GOOD
242,43,FEMALE,OWNED,4,GOOD
243,45,FEMALE,OWNED,3,GOOD
244,39,MALE,OWNED,2,GOOD
245,27,MALE,OTHERS,0,GOOD
246,23,FEMALE,PARENTS,0,GOOD
247,37,FEMALE,OWNED,2,GOOD
248,37,FEMALE,OWNED,3,GOOD
249,36,FEMALE,OWNED,3,GOOD
250,38,MALE,OWNED,4,GOOD
251,34,MALE,OTHERS,2,GOOD
252,34,FEMALE,RENT,4,GOOD
253,30,FEMALE,OWNED,0,GOOD
254,39,MALE,OTHERS,5,BAD
255,36,FEMALE,OWNED,0,GOOD
256,26,FEMALE,RENT,0,GOOD
257,40,MALE,OWNED,4,BAD
258,45,FEMALE,OWNED,0,GOOD
259,33,MALE,PARENTS,4,BAD
260,38,MALE,OWNED,3,BAD
261,30,FEMALE,OWNED,0,GOOD
262,41,MALE,OWNED,3,GOOD
263,43,FEMALE,OWNED,0,GOOD
264,30,MALE,OWNED,2,GOOD
265,43,MALE,OWNED,2,GOOD
266,40,MALE,OTHERS,0,BAD
267,35,MALE,OTHERS,5,BAD
268,39,MALE,OWNED,0,GOOD
269,26,MALE,RENT,0,BAD
270,33,MALE,RENT,3,BAD
271,36,FEMALE,RENT,0,GOOD
272,38,MALE,OWNED,0,GOOD
273,43,FEMALE,RENT,1,GOOD
274,43,FEMALE,OWNED,0,GOOD
275,38,FEMALE,OWNED,2,GOOD
276,41,MALE,OWNED,5,GOOD
277,32,MALE,RENT,3,BAD
278,29,MALE,OWNED,0,GOOD
279,33,MALE,OWNED,0,GOOD
280,28,MALE,OWNED,4,BAD
281,31,MALE,RENT,3,BAD
282,41,FEMALE,RENT,1,GOOD
283,33,FEMALE,OWNED,3,GOOD
284,35,FEMALE,OWNED,3,GOOD
285,37,MALE,OWNED,0,GOOD
286,48,MALE,RENT,2,BAD
287,42,MALE,RENT,3,BAD
288,34,FEMALE,RENT,3,GOOD
289,16,MALE,RENT,4,BAD
290,37,FEMALE,RENT,3,GOOD
291,39,MALE,RENT,1,GOOD
292,36,FEMALE,RENT,0,BAD
293,32,MALE,OTHERS,3,GOOD
294,22,MALE,OWNED,1,GOOD
295,39,MALE,OWNED,4,BAD
296,20,MALE,RENT,1,BAD
297,34,MALE,RENT,1,GOOD
298,42,MALE,OWNED,2,GOOD
299,33,MALE,RENT,4,GOOD
300,31,MALE,RENT,0,BAD
301,35,MALE,OWNED,5,GOOD
302,35,FEMALE,OWNED,5,GOOD
303,30,MALE,OWNED,5,GOOD
304,31,FEMALE,OWNED,0,GOOD
305,26,FEMALE,PARENTS,0,GOOD
306,25,MALE,OWNED,1,GOOD
307,38,MALE,OWNED,3,BAD
308,30,MALE,OWNED,0,GOOD
309,28,FEMALE,OWNED,0,GOOD
310,34,MALE,OWNED,5,GOOD
311,44,FEMALE,RENT,1,GOOD
312,43,MALE,RENT,5,BAD
313,43,FEMALE,PARENTS,1,GOOD
314,40,MALE,OTHERS,2,GOOD
315,44,MALE,RENT,5,GOOD
316,29,FEMALE,OWNED,0,GOOD
317,37,FEMALE,OWNED,3,GOOD
318,29,MALE,OWNED,1,BAD
319,40,FEMALE,RENT,1,GOOD
320,35,MALE,OTHERS,4,BAD
321,42,MALE,OWNED,0,GOOD
322,27,MALE,RENT,0,BAD
323,38,FEMALE,RENT,3,GOOD
324,38,MALE,OWNED,3,GOOD
325,42,FEMALE,PARENTS,0,BAD
326,43,FEMALE,OWNED,5,GOOD
327,34,FEMALE,OWNED,1,GOOD
328,44,MALE,RENT,3,BAD
329,40,FEMALE,OTHERS,0,GOOD
330,30,FEMALE,PARENTS,5,GOOD
331,43,MALE,OWNED,5,GOOD
332,31,FEMALE,OTHERS,1,BAD
333,34,FEMALE,RENT,1,GOOD
334,26,MALE,RENT,1,BAD
335,31,MALE,OWNED,3,GOOD
336,32,FEMALE,RENT,4,BAD
337,24,MALE,PARENTS,1,GOOD
338,19,MALE,RENT,1,BAD
339,34,MALE,RENT,4,BAD
340,39,MALE,RENT,1,BAD
341,35,FEMALE,RENT,1,GOOD
342,37,MALE,OWNED,3,GOOD
343,51,FEMALE,OWNED,0,GOOD
344,30,MALE,OTHERS,5,BAD
345,23,FEMALE,RENT,1,GOOD
346,38,MALE,OTHERS,0,BAD
347,34,MALE,RENT,3,BAD
348,43,MALE,OTHERS,4,BAD
349,32,MALE,RENT,3,BAD
350,35,MALE,OTHERS,0,GOOD
351,45,MALE,OTHERS,1,GOOD
352,35,MALE,OWNED,1,GOOD
353,41,MALE,OWNED,2,GOOD
354,30,FEMALE,PARENTS,2,GOOD
355,46,MALE,OWNED,1,GOOD
356,28,FEMALE,OWNED,0,GOOD
357,29,FEMALE,RENT,1,GOOD
358,33,FEMALE,OWNED,0,GOOD
359,36,MALE,OTHERS,3,GOOD
360,32,MALE,OWNED,0,GOOD
361,39,MALE,OWNED,4,BAD
362,34,FEMALE,OWNED,1,GOOD
363,28,FEMALE,RENT,1,GOOD
364,29,FEMALE,RENT,1,GOOD
365,40,MALE,OWNED,1,GOOD
366,25,FEMALE,OTHERS,1,GOOD
367,33,MALE,RENT,4,BAD
368,32,MALE,OTHERS,3,BAD
369,38,MALE,OWNED,5,GOOD
370,42,FEMALE,OWNED,5,GOOD
371,47,FEMALE,OWNED,0,GOOD
372,32,MALE,OWNED,0,GOOD
373,44,FEMALE,OWNED,3,GOOD
374,47,FEMALE,OWNED,4,GOOD
375,31,FEMALE,OWNED,3,GOOD
376,35,FEMALE,PARENTS,2,BAD
377,36,FEMALE,OWNED,5,GOOD
378,40,FEMALE,RENT,1,GOOD
379,30,FEMALE,RENT,3,BAD
380,35,MALE,RENT,5,BAD
381,32,MALE,OTHERS,1,BAD
382,41,FEMALE,OWNED,3,GOOD
383,30,FEMALE,PARENTS,4,BAD
384,40,FEMALE,OWNED,5,GOOD
385,43,FEMALE,OWNED,3,GOOD
386,42,FEMALE,RENT,5,BAD
387,30,MALE,OWNED,0,GOOD
388,46,FEMALE,RENT,0,GOOD
389,37,FEMALE,OTHERS,4,BAD
390,34,FEMALE,PARENTS,0,GOOD
391,30,MALE,RENT,4,BAD
392,41,FEMALE,PARENTS,5,GOOD
393,33,FEMALE,OWNED,4,GOOD
394,37,MALE,OWNED,5,GOOD
395,35,MALE,RENT,0,BAD
396,33,MALE,OWNED,0,GOOD
397,34,FEMALE,PARENTS,5,BAD
398,33,MALE,OWNED,3,GOOD
399,34,FEMALE,OWNED,1,GOOD
400,33,FEMALE,OWNED,4,GOOD
401,36,FEMALE,OWNED,1,GOOD
402,32,FEMALE,OWNED,3,GOOD
403,37,MALE,RENT,1,BAD
404,27,MALE,OWNED,4,GOOD
405,30,FEMALE,RENT,5,GOOD
406,36,MALE,OWNED,5,GOOD
407,33,FEMALE,OWNED,3,GOOD
408,32,FEMALE,OTHERS,5,GOOD
409,40,MALE,OWNED,2,GOOD
410,30,FEMALE,RENT,0,GOOD
411,42,FEMALE,PARENTS,2,GOOD
412,26,FEMALE,OWNED,0,GOOD
413,46,MALE,OWNED,3,GOOD
414,37,MALE,RENT,4,BAD
415,38,MALE,OWNED,4,GOOD
416,22,FEMALE,RENT,1,GOOD
417,47,MALE,OWNED,3,GOOD
418,25,FEMALE,OWNED,0,GOOD
419,41,MALE,OTHERS,5,BAD
420,40,MALE,PARENTS,4,BAD
421,27,MALE,OWNED,1,BAD
422,26,MALE,OWNED,1,BAD
423,31,FEMALE,OWNED,4,GOOD
424,28,MALE,OWNED,0,GOOD
425,38,MALE,OWNED,3,GOOD
426,35,MALE,OTHERS,5,BAD
427,38,MALE,OWNED,1,GOOD
428,45,MALE,OWNED,3,BAD
429,40,MALE,OWNED,4,BAD
430,30,FEMALE,RENT,0,BAD
431,29,MALE,OWNED,0,GOOD
432,38,MALE,OWNED,5,GOOD
433,40,MALE,PARENTS,4,BAD
434,34,MALE,OWNED,2,GOOD
435,38,MALE,PARENTS,2,GOOD
436,32,FEMALE,RENT,5,GOOD
437,32,FEMALE,PARENTS,0,GOOD
438,37,FEMALE,PARENTS,1,GOOD
439,32,FEMALE,OWNED,1,GOOD
440,34,FEMALE,OWNED,0,GOOD
441,41,FEMALE,OWNED,3,GOOD
442,33,MALE,PARENTS,2,GOOD
443,45,MALE,RENT,5,BAD
444,30,MALE,OWNED,2,GOOD
445,32,MALE,OWNED,4,BAD
446,28,MALE,OWNED,0,GOOD
447,29,MALE,OTHERS,1,BAD
448,37,FEMALE,OTHERS,0,GOOD
449,32,MALE,RENT,5,BAD
450,33,MALE,PARENTS,3,BAD
451,33,FEMALE,PARENTS,0,GOOD
452,16,MALE,PARENTS,0,BAD
453,44,MALE,PARENTS,4,GOOD
454,29,MALE,RENT,1,BAD
455,29,FEMALE,PARENTS,0,GOOD
456,32,MALE,OWNED,4,GOOD
457,45,MALE,OWNED,4,GOOD
458,37,FEMALE,RENT,4,BAD
459,33,FEMALE,RENT,0,GOOD
460,34,FEMALE,OTHERS,1,GOOD
461,28,FEMALE,OWNED,1,GOOD
462,30,FEMALE,OWNED,3,GOOD
463,36,FEMALE,RENT,1,GOOD
464,41,MALE,RENT,5,BAD
465,28,MALE,OTHERS,1,BAD
466,39,MALE,OWNED,5,GOOD
467,35,MALE,RENT,3,BAD
468,38,MALE,RENT,1,BAD
469,27,FEMALE,RENT,1,BAD
470,31,FEMALE,OWNED,5,GOOD
471,43,MALE,RENT,1,BAD
472,42,MALE,OWNED,0,GOOD
473,37,MALE,OWNED,1,GOOD
474,26,FEMALE,RENT,0,BAD
475,37,FEMALE,RENT,3,BAD
476,29,MALE,PARENTS,0,GOOD
477,46,MALE,RENT,0,GOOD
478,37,MALE,OWNED,3,GOOD
479,32,MALE,OTHERS,5,BAD
480,39,FEMALE,OWNED,0,GOOD
481,31,FEMALE,OWNED,1,GOOD
482,41,FEMALE,OTHERS,3,BAD
483,42,MALE,OWNED,0,GOOD
484,36,MALE,OWNED,3,GOOD
485,44,FEMALE,OWNED,1,GOOD
486,39,MALE,OWNED,5,GOOD
487,36,MALE,OWNED,2,GOOD
488,39,MALE,OWNED,0,GOOD
489,35,MALE,OWNED,5,BAD
490,36,MALE,OWNED,4,BAD
491,24,MALE,OTHERS,1,BAD
492,44,FEMALE,OWNED,5,GOOD
493,31,MALE,OWNED,3,GOOD
494,26,MALE,OWNED,0,GOOD
495,38,MALE,OTHERS,4,BAD
496,38,MALE,OWNED,3,GOOD
497,44,FEMALE,OWNED,4,GOOD
498,31,FEMALE,OTHERS,1,GOOD
499,23,MALE,RENT,0,BAD
500,33,MALE,RENT,4,BAD
501,42,MALE,PARENTS,4,BAD
502,34,MALE,RENT,3,BAD
503,23,MALE,PARENTS,1,BAD
504,42,FEMALE,RENT,1,BAD
505,27,FEMALE,OWNED,0,GOOD
506,42,MALE,OWNED,3,GOOD
507,38,FEMALE,OTHERS,5,GOOD
508,38,FEMALE,OWNED,2,GOOD
509,40,FEMALE,OTHERS,2,BAD
510,37,MALE,OTHERS,1,BAD
511,39,MALE,OWNED,4,GOOD
512,37,FEMALE,PARENTS,4,GOOD
513,33,FEMALE,PARENTS,0,GOOD
514,28,MALE,OWNED,1,GOOD
515,27,MALE,OWNED,0,GOOD
516,32,FEMALE,OWNED,5,GOOD
517,48,FEMALE,OWNED,3,GOOD
518,35,FEMALE,RENT,5,GOOD
519,31,MALE,OWNED,0,GOOD
520,30,MALE,PARENTS,1,BAD
521,22,FEMALE,PARENTS,0,GOOD
522,38,FEMALE,RENT,3,GOOD
523,21,MALE,PARENTS,0,GOOD
524,38,FEMALE,OWNED,0,GOOD
525,45,MALE,OWNED,2,GOOD
526,30,FEMALE,PARENTS,0,GOOD
527,37,FEMALE,OWNED,1,GOOD
528,32,MALE,RENT,3,BAD
529,27,FEMALE,RENT,0,GOOD
530,40,FEMALE,PARENTS,2,BAD
531,41,MALE,RENT,2,BAD
532,38,MALE,OWNED,4,GOOD
533,35,MALE,OTHERS,4,GOOD
534,34,MALE,RENT,5,BAD
535,33,MALE,OWNED,5,GOOD
536,42,FEMALE,RENT,0,GOOD
537,18,FEMALE,PARENTS,3,BAD
538,37,MALE,OWNED,0,GOOD
539,38,FEMALE,RENT,2,GOOD
540,31,MALE,OWNED,0,GOOD
541,26,MALE,RENT,0,BAD
542,41,MALE,RENT,5,BAD
543,44,FEMALE,OWNED,2,GOOD
544,24,MALE,OWNED,0,GOOD
545,25,MALE,RENT,0,BAD
546,41,FEMALE,OWNED,4,GOOD
547,40,MALE,RENT,0,BAD
548,30,MALE,OTHERS,4,BAD
549,38,FEMALE,OWNED,2,GOOD
550,31,FEMALE,OWNED,0,GOOD
551,43,FEMALE,OWNED,5,GOOD
552,28,MALE,OWNED,1,BAD
553,32,MALE,PARENTS,2,GOOD
554,39,FEMALE,OTHERS,0,GOOD
555,36,MALE,OWNED,5,GOOD
556,39,MALE,OWNED,3,BAD
557,36,FEMALE,OWNED,0,GOOD
558,32,FEMALE,OTHERS,1,GOOD
559,34,FEMALE,PARENTS,0,GOOD
560,28,MALE,PARENTS,1,GOOD
561,27,MALE,OWNED,1,GOOD
562,26,MALE,RENT,1,BAD
563,51,MALE,OWNED,0,GOOD
564,35,MALE,OWNED,1,GOOD
565,37,MALE,RENT,0,GOOD
566,34,MALE,OWNED,4,GOOD
567,37,FEMALE,OWNED,2,GOOD
568,29,MALE,OWNED,3,BAD
569,30,FEMALE,OWNED,2,GOOD
570,33,MALE,PARENTS,0,BAD
571,33,MALE,OWNED,5,GOOD
572,22,FEMALE,PARENTS,0,GOOD
573,38,MALE,OTHERS,0,BAD
574,48,MALE,PARENTS,2,GOOD
575,39,FEMALE,OTHERS,2,GOOD
576,33,MALE,RENT,4,BAD
577,28,MALE,OTHERS,1,GOOD
578,27,MALE,OWNED,0,GOOD
579,37,MALE,OWNED,2,GOOD
580,26,MALE,RENT,1,BAD
581,32,MALE,PARENTS,1,GOOD
582,37,MALE,OWNED,3,GOOD
583,32,MALE,RENT,1,BAD
584,32,MALE,OWNED,1,GOOD
585,25,MALE,OWNED,1,GOOD
586,37,FEMALE,OWNED,1,GOOD
587,41,MALE,PARENTS,1,GOOD
588,37,MALE,RENT,4,BAD
589,30,MALE,RENT,1,BAD
590,36,MALE,PARENTS,1,GOOD
591,21,FEMALE,PARENTS,0,GOOD
592,32,FEMALE,OWNED,5,GOOD
593,34,FEMALE,RENT,3,GOOD
594,43,MALE,RENT,4,BAD
595,42,MALE,RENT,3,BAD
596,34,FEMALE,OWNED,5,GOOD
597,33,FEMALE,OTHERS,0,GOOD
598,26,FEMALE,PARENTS,1,GOOD
599,31,FEMALE,OWNED,2,GOOD
600,35,FEMALE,OWNED,2,GOOD
601,35,MALE,OWNED,3,GOOD
602,28,FEMALE,RENT,3,BAD
603,40,FEMALE,RENT,5,GOOD
604,28,FEMALE,RENT,1,GOOD
605,40,MALE,OWNED,2,GOOD
606,38,MALE,OWNED,0,GOOD
607,22,MALE,PARENTS,0,BAD
608,47,FEMALE,RENT,0,GOOD
609,31,MALE,PARENTS,4,BAD
610,29,MALE,RENT,0,GOOD
611,27,FEMALE,OWNED,1,GOOD
612,36,MALE,OWNED,2,GOOD
613,24,MALE,RENT,0,BAD
614,39,MALE,OWNED,1,GOOD
615,31,MALE,OWNED,0,GOOD
616,38,FEMALE,RENT,2,GOOD
617,39,MALE,OWNED,4,BAD
618,26,FEMALE,OWNED,0,GOOD
619,41,MALE,RENT,3,BAD
620,39,MALE,RENT,4,BAD
621,37,FEMALE,OWNED,2,GOOD
622,28,FEMALE,OWNED,1,BAD
623,30,MALE,OWNED,5,GOOD
624,34,MALE,RENT,3,BAD
625,41,FEMALE,RENT,5,GOOD
626,38,MALE,RENT,0,GOOD
627,33,MALE,OWNED,5,BAD
628,36,MALE,OWNED,4,GOOD
629,32,MALE,RENT,2,BAD
630,44,MALE,RENT,0,GOOD
631,39,MALE,RENT,3,BAD
632,41,FEMALE,OWNED,4,GOOD
633,39,FEMALE,RENT,5,GOOD
634,42,MALE,OTHERS,4,BAD
635,28,FEMALE,OTHERS,0,GOOD
636,33,FEMALE,OWNED,1,GOOD
637,29,MALE,OWNED,1,GOOD
638,33,MALE,PARENTS,2,GOOD
639,39,MALE,OTHERS,0,GOOD
640,35,FEMALE,OWNED,3,GOOD
641,43,MALE,RENT,3,BAD
642,39,MALE,OWNED,0,GOOD
643,31,MALE,RENT,2,BAD
644,44,FEMALE,RENT,4,BAD
645,38,MALE,OTHERS,2,GOOD
646,45,FEMALE,RENT,1,GOOD
647,38,MALE,RENT,3,GOOD
648,42,MALE,PARENTS,5,BAD
649,28,MALE,OTHERS,4,BAD
650,41,FEMALE,RENT,2,BAD
651,35,FEMALE,OWNED,3,GOOD
652,29,MALE,OWNED,1,GOOD
653,30,FEMALE,RENT,1,GOOD
654,28,MALE,OWNED,0,GOOD
655,35,MALE,OTHERS,1,GOOD
656,28,FEMALE,OWNED,0,GOOD
657,37,FEMALE,RENT,3,GOOD
658,31,FEMALE,OWNED,0,GOOD
659,32,FEMALE,OWNED,5,GOOD
660,36,FEMALE,RENT,4,BAD
661,33,FEMALE,PARENTS,4,GOOD
662,34,MALE,OWNED,1,GOOD
663,28,FEMALE,OWNED,3,GOOD
664,45,FEMALE,OWNED,3,GOOD
665,35,MALE,RENT,0,GOOD
666,40,FEMALE,OWNED,1,GOOD
667,28,MALE,OWNED,2,BAD
668,25,MALE,PARENTS,0,BAD
669,35,FEMALE,RENT,5,BAD
670,40,FEMALE,PARENTS,5,GOOD
671,42,FEMALE,OWNED,3,GOOD
672,35,FEMALE,OTHERS,0,GOOD
673,31,MALE,OWNED,3,BAD
674,36,MALE,RENT,2,GOOD
675,36,MALE,OWNED,2,GOOD
676,34,MALE,OWNED,3,GOOD
677,38,FEMALE,OWNED,0,GOOD
678,42,FEMALE,RENT,3,BAD
679,42,FEMALE,RENT,4,BAD
680,40,MALE,OWNED,3,BAD
