No,usia,income,rumah,lokasi,pernikahan,jenis kelamin,status
54,40,8.33,OWNED,RURAL,MARRIED,FEMALE,GOOD
55,38,3.99,PARENTS,URBAN,MARRIED,FEMALE,BAD
56,43,9.75,RENT,URBAN,MARRIED,MALE,BAD
57,38,5.82,OWNED,RURAL,MARRIED,MALE,BAD
58,35,6.06,RENT,URBAN,MARRIED,FEMALE,BAD
59,37,6.32,RENT,URBAN,MARRIED,FEMALE,BAD
60,42,3.97,OWNED,URBAN,MARRIED,MALE,BAD
61,35,17.38,OWNED,URBAN,MARRIED,FEMALE,GOOD
62,43,5.33,OWNED,RURAL,MARRIED,MALE,GOOD
63,39,5.37,RENT,URBAN,MARRIED,MALE,BAD
64,39,7.53,OWNED,RURAL,MARRIED,MALE,GOOD
65,30,3.57,RENT,URBAN,MARRIED,MALE,BAD
66,40,7.18,RENT,RURAL,MARRIED,FEMALE,BAD
67,38,7.27,OWNED,RURAL,MARRIED,MALE,GOOD
68,39,4.79,OWNED,URBAN,MARRIED,MALE,GOOD
69,36,8.82,RENT,RURAL,MARRIED,FEMALE,GOOD
70,38,9.58,OWNED,URBAN,MARRIED,FEMALE,GOOD
71,47,4.97,RENT,URBAN,MARRIED,MALE,BAD
72,42,7,OWNED,URBAN,MARRIED,FEMALE,GOOD
73,45,4.43,OWNED,RURAL,SINGLE,MALE,GOOD
74,28,3.19,OWNED,RURAL,SINGLE,FEMALE,GOOD
75,40,7.93,OWNED,URBAN,MARRIED,FEMALE,GOOD
76,38,9.16,RENT,URBAN,MARRIED,MALE,BAD
77,43,5.3,OWNED,URBAN,MARRIED,FEMALE,BAD
78,43,8.66,OTHERS,RURAL,MARRIED,MALE,GOOD
79,42,3.72,RENT,URBAN,MARRIED,MALE,BAD
80,41,5.28,RENT,URBAN,MARRIED,MALE,BAD
81,34,6.69,RENT,URBAN,MARRIED,MALE,BAD
82,38,9.38,OWNED,URBAN,MARRIED,MALE,GOOD
83,43,8.55,OWNED,RURAL,MARRIED,MALE,GOOD
84,41,8.09,OWNED,URBAN,SINGLE,MALE,GOOD
85,39,4.24,OWNED,RURAL,MARRIED,MALE,GOOD
86,45,7.67,OWNED,RURAL,MARRIED,FEMALE,BAD
87,42,3.65,OWNED,URBAN,MARRIED,FEMALE,GOOD
88,41,5.31,PARENTS,RURAL,MARRIED,MALE,BAD
89,39,5.17,OWNED,URBAN,MARRIED,MALE,GOOD
90,41,5.83,OWNED,RURAL,MARRIED,MALE,GOOD
91,41,6.88,RENT,URBAN,SINGLE,MALE,BAD
92,46,8.54,OWNED,URBAN,MARRIED,FEMALE,GOOD
93,39,7.74,OWNED,RURAL,MARRIED,FEMALE,GOOD
94,41,5.81,OWNED,URBAN,MARRIED,FEMALE,GOOD
95,31,5.27,OWNED,RURAL,MARRIED,FEMALE,GOOD
96,34,5.18,OTHERS,URBAN,MARRIED,MALE,BAD
97,30,10.53,OWNED,URBAN,MARRIED,MALE,GOOD
98,37,6.06,OWNED,RURAL,MARRIED,MALE,GOOD
99,42,7.67,RENT,URBAN,MARRIED,FEMALE,GOOD
100,36,3.81,OWNED,RURAL,MARRIED,FEMALE,GOOD
101,37,6.29,OWNED,URBAN,MARRIED,MALE,GOOD
102,40,3.19,OTHERS,RURAL,MARRIED,MALE,BAD
103,37,5.62,OWNED,RURAL,MARRIED,FEMALE,GOOD
104,38,9.09,RENT,URBAN,MARRIED,MALE,BAD
105,38,4.13,RENT,RURAL,MARRIED,MALE,BAD
106,44,5.71,OWNED,URBAN,MARRIED,MALE,GOOD
107,34,5.41,OWNED,RURAL,MARRIED,MALE,BAD
108,37,8.32,OWNED,RURAL,MARRIED,FEMALE,GOOD
109,40,3.61,OWNED,RURAL,MARRIED,MALE,BAD
110,42,7.09,RENT,URBAN,MARRIED,MALE,BAD
111,37,6.42,OWNED,RURAL,MARRIED,FEMALE,GOOD
112,46,5.3,RENT,URBAN,MARRIED,MALE,BAD
113,35,3.26,OWNED,RURAL,MARRIED,FEMALE,BAD
114,41,6.54,OWNED,RURAL,MARRIED,MALE,GOOD
115,43,4.04,OWNED,URBAN,MARRIED,FEMALE,GOOD
116,41,7.67,RENT,URBAN,MARRIED,MALE,BAD
117,38,7.78,RENT,URBAN,MARRIED,MALE,BAD
118,42,7.06,RENT,URBAN,SINGLE,MALE,BAD
119,39,14.58,PARENTS,URBAN,MARRIED,MALE,GOOD
120,40,8.4,OWNED,RURAL,MARRIED,FEMALE,GOOD
121,41,7.23,OWNED,URBAN,MARRIED,FEMALE,GOOD
122,40,7.4,OWNED,URBAN,MARRIED,MALE,GOOD
123,46,6.47,OWNED,URBAN,MARRIED,FEMALE,GOOD
124,33,5.09,RENT,RURAL,MARRIED,MALE,BAD
125,37,8.68,RENT,URBAN,MARRIED,FEMALE,GOOD
126,41,6.16,OWNED,URBAN,MARRIED,MALE,GOOD
127,39,4.8,OWNED,RURAL,MARRIED,FEMALE,GOOD
128,33,5.56,OWNED,URBAN,MARRIED,FEMALE,GOOD
129,46,8.46,OWNED,RURAL,MARRIED,MALE,GOOD
130,40,8.54,OWNED,URBAN,SINGLE,FEMALE,GOOD
131,41,5.69,OWNED,RURAL,MARRIED,MALE,GOOD
132,30,7.87,PARENTS,RURAL,MARRIED,MALE,BAD
133,45,6.33,OWNED,RURAL,MARRIED,MALE,GOOD
134,39,7.19,RENT,RURAL,MARRIED,FEMALE,GOOD
135,37,4.18,PARENTS,RURAL,MARRIED,MALE,BAD
136,46,3.66,OWNED,RURAL,MARRIED,MALE,BAD
137,37,6.13,OWNED,RURAL,MARRIED,FEMALE,GOOD
138,39,4.7,OTHERS,URBAN,SINGLE,MALE,BAD
139,45,5.12,OWNED,URBAN,SINGLE,FEMALE,GOOD
140,36,7.97,OWNED,URBAN,MARRIED,FEMALE,GOOD
141,38,4.18,PARENTS,URBAN,MARRIED,MALE,BAD
142,37,4.67,OWNED,URBAN,MARRIED,MALE,GOOD
143,44,3.69,OWNED,URBAN,MARRIED,MALE,BAD
144,35,7.93,OWNED,URBAN,MARRIED,FEMALE,GOOD
145,39,4.73,OTHERS,URBAN,MARRIED,MALE,BAD
146,40,8.65,OWNED,RURAL,MARRIED,MALE,GOOD
147,44,6.27,OWNED,RURAL,MARRIED,MALE,BAD
148,42,4.67,PARENTS,URBAN,MARRIED,MALE,BAD
149,45,5.23,OWNED,URBAN,MARRIED,FEMALE,BAD
150,37,6.94,OWNED,URBAN,MARRIED,FEMALE,GOOD
151,41,3.7,PARENTS,RURAL,MARRIED,MALE,BAD
152,40,3.77,RENT,URBAN,MARRIED,MALE,BAD
153,37,5.03,OWNED,RURAL,MARRIED,FEMALE,GOOD
154,32,15.59,OWNED,URBAN,MARRIED,MALE,GOOD
155,40,5.94,PARENTS,URBAN,MARRIED,FEMALE,BAD
156,40,7.11,OWNED,URBAN,MARRIED,FEMALE,GOOD
157,44,5.59,OWNED,RURAL,MARRIED,FEMALE,GOOD
158,45,6.04,OTHERS,URBAN,SINGLE,MALE,GOOD
159,37,9.58,OWNED,URBAN,MARRIED,FEMALE,GOOD
160,41,9.03,OWNED,RURAL,MARRIED,FEMALE,BAD
161,40,9.16,OWNED,RURAL,MARRIED,MALE,GOOD
162,44,10.02,OWNED,URBAN,MARRIED,MALE,GOOD
163,40,3.98,OWNED,URBAN,MARRIED,MALE,BAD
164,38,7.76,OWNED,URBAN,SINGLE,FEMALE,GOOD
165,35,9.39,RENT,URBAN,MARRIED,MALE,BAD
166,47,8.7,OTHERS,URBAN,MARRIED,FEMALE,GOOD
167,40,5.33,OWNED,URBAN,MARRIED,FEMALE,GOOD
168,36,5.3,OWNED,RURAL,MARRIED,FEMALE,GOOD
169,45,8.45,RENT,URBAN,MARRIED,FEMALE,GOOD
170,46,3.52,OWNED,URBAN,MARRIED,FEMALE,GOOD
171,37,7.65,OTHERS,RURAL,SINGLE,FEMALE,GOOD
172,46,6.32,PARENTS,RURAL,MARRIED,FEMALE,GOOD
173,47,4.56,OWNED,URBAN,MARRIED,MALE,GOOD
174,37,5.01,RENT,RURAL,SINGLE,FEMALE,BAD
175,42,6.5,RENT,RURAL,MARRIED,MALE,BAD
176,33,7.13,OTHERS,RURAL,MARRIED,MALE,BAD
177,45,7.9,OWNED,URBAN,MARRIED,FEMALE,GOOD
178,42,6.93,OWNED,RURAL,MARRIED,MALE,GOOD
179,50,6.4,OWNED,URBAN,MARRIED,MALE,GOOD
180,39,5.19,OWNED,URBAN,MARRIED,FEMALE,GOOD
181,32,6.8,OWNED,RURAL,MARRIED,MALE,GOOD
182,42,4.68,RENT,URBAN,MARRIED,MALE,BAD
183,38,5.61,OWNED,URBAN,MARRIED,MALE,GOOD
184,35,12.99,OTHERS,URBAN,MARRIED,MALE,GOOD
185,39,5.43,PARENTS,RURAL,MARRIED,FEMALE,BAD
186,39,12.56,OWNED,URBAN,MARRIED,MALE,GOOD
187,33,7.32,PARENTS,URBAN,MARRIED,FEMALE,BAD
188,42,9.35,OWNED,URBAN,MARRIED,MALE,GOOD
189,36,9.76,OWNED,URBAN,MARRIED,MALE,GOOD
190,44,5.74,OWNED,RURAL,MARRIED,MALE,GOOD
191,43,5.39,RENT,URBAN,SINGLE,FEMALE,GOOD
192,34,6.82,OWNED,RURAL,MARRIED,MALE,GOOD
193,37,8.29,OWNED,RURAL,MARRIED,MALE,GOOD
194,42,9.06,OWNED,RURAL,MARRIED,MALE,GOOD
195,46,5.32,OWNED,URBAN,MARRIED,FEMALE,BAD
196,42,7.23,OWNED,URBAN,MARRIED,MALE,GOOD
197,33,11.73,OWNED,RURAL,MARRIED,MALE,GOOD
198,43,5.1,PARENTS,URBAN,MARRIED,FEMALE,BAD
199,40,4.83,OWNED,RURAL,MARRIED,FEMALE,GOOD
200,35,10.99,OTHERS,URBAN,MARRIED,MALE,GOOD
201,32,14.36,RENT,RURAL,MARRIED,MALE,BAD
202,34,11.27,OWNED,RURAL,MARRIED,MALE,GOOD
203,37,11.56,OWNED,URBAN,MARRIED,FEMALE,BAD
204,40,5.42,RENT,URBAN,MARRIED,FEMALE,BAD
205,43,7.63,OWNED,RURAL,MARRIED,MALE,GOOD
206,50,7.53,OWNED,URBAN,MARRIED,MALE,GOOD
207,38,12.31,OWNED,URBAN,SINGLE,FEMALE,GOOD
208,36,4.85,PARENTS,URBAN,MARRIED,MALE,BAD
209,48,5.76,OWNED,RURAL,MARRIED,MALE,GOOD
210,35,7.18,OWNED,URBAN,MARRIED,MALE,GOOD
211,47,5.06,OWNED,RURAL,MARRIED,FEMALE,GOOD
212,40,21.3,PARENTS,URBAN,MARRIED,MALE,GOOD
213,35,3.82,RENT,URBAN,MARRIED,MALE,BAD
214,44,4.93,OWNED,URBAN,MARRIED,MALE,GOOD
215,39,6.22,OWNED,URBAN,MARRIED,MALE,GOOD
216,39,4.01,OWNED,RURAL,MARRIED,MALE,GOOD
217,41,8.84,OWNED,RURAL,MARRIED,MALE,GOOD
218,31,5.64,PARENTS,URBAN,MARRIED,MALE,BAD
219,46,6.42,OTHERS,URBAN,MARRIED,FEMALE,GOOD
220,31,4.97,OWNED,RURAL,SINGLE,MALE,GOOD
221,45,10.95,OWNED,RURAL,MARRIED,FEMALE,GOOD
222,40,6.67,RENT,URBAN,MARRIED,FEMALE,BAD
223,38,5.81,PARENTS,RURAL,MARRIED,MALE,BAD
224,34,3.43,OWNED,URBAN,MARRIED,FEMALE,BAD
225,39,7.25,OWNED,URBAN,MARRIED,FEMALE,GOOD
226,40,6.59,RENT,URBAN,MARRIED,FEMALE,BAD
227,37,9.26,PARENTS,URBAN,MARRIED,MALE,BAD
228,35,5.83,OWNED,URBAN,MARRIED,MALE,BAD
229,46,5.69,OWNED,URBAN,MARRIED,MALE,GOOD
230,35,5.5,RENT,RURAL,MARRIED,MALE,BAD
231,41,7.14,OWNED,RURAL,MARRIED,FEMALE,GOOD
232,43,8.33,PARENTS,URBAN,MARRIED,FEMALE,BAD
233,37,4.51,PARENTS,RURAL,MARRIED,MALE,BAD
234,34,5.05,RENT,URBAN,SINGLE,FEMALE,BAD
235,46,10.28,OWNED,RURAL,MARRIED,MALE,GOOD
236,38,7.5,OWNED,URBAN,MARRIED,MALE,GOOD
237,44,9.11,OTHERS,URBAN,MARRIED,MALE,GOOD
238,41,4.67,RENT,URBAN,MARRIED,FEMALE,BAD
239,45,6.42,OWNED,URBAN,MARRIED,FEMALE,GOOD
240,46,6.51,RENT,URBAN,MARRIED,FEMALE,BAD
241,41,4.25,RENT,RURAL,MARRIED,FEMALE,BAD
242,36,5.13,OWNED,URBAN,MARRIED,MALE,GOOD
243,38,5.43,OWNED,URBAN,SINGLE,FEMALE,GOOD
244,36,7.34,PARENTS,URBAN,MARRIED,FEMALE,BAD
245,37,4.75,OWNED,URBAN,MARRIED,FEMALE,GOOD
246,38,5.1,OWNED,URBAN,MARRIED,FEMALE,BAD
247,35,4.56,OWNED,RURAL,MARRIED,MALE,BAD
248,43,3.65,RENT,RURAL,MARRIED,MALE,BAD
249,45,4.9,OWNED,URBAN,MARRIED,FEMALE,GOOD
250,43,11.28,OWNED,URBAN,MARRIED,FEMALE,GOOD
251,41,7.21,OWNED,URBAN,SINGLE,MALE,GOOD
252,41,4.68,OWNED,RURAL,MARRIED,FEMALE,GOOD
253,34,7.42,PARENTS,URBAN,SINGLE,FEMALE,GOOD
254,36,4.53,OWNED,RURAL,MARRIED,MALE,BAD
255,40,7.99,RENT,RURAL,MARRIED,MALE,BAD
256,42,7.62,OWNED,URBAN,MARRIED,FEMALE,GOOD
257,39,3.22,PARENTS,RURAL,MARRIED,MALE,BAD
258,36,5.97,OWNED,RURAL,MARRIED,MALE,GOOD
259,45,9.2,OTHERS,URBAN,MARRIED,MALE,GOOD
260,45,8.76,OWNED,URBAN,SINGLE,MALE,GOOD
261,40,9.11,RENT,URBAN,MARRIED,MALE,BAD
262,35,9.11,OWNED,URBAN,MARRIED,FEMALE,GOOD
263,43,5.03,OTHERS,RURAL,MARRIED,MALE,BAD
264,37,4.37,OWNED,URBAN,MARRIED,FEMALE,GOOD
265,42,4.62,OWNED,URBAN,MARRIED,FEMALE,GOOD
266,30,4.95,PARENTS,RURAL,MARRIED,MALE,BAD
267,45,8.98,OWNED,URBAN,SINGLE,FEMALE,GOOD
268,42,5.08,OTHERS,URBAN,MARRIED,MALE,BAD
269,44,8.2,RENT,RURAL,MARRIED,MALE,BAD
270,48,3.35,OWNED,URBAN,MARRIED,MALE,BAD
271,38,9.42,PARENTS,URBAN,MARRIED,MALE,BAD
272,37,5.41,OWNED,RURAL,MARRIED,MALE,BAD
273,32,4.28,OWNED,URBAN,MARRIED,MALE,BAD
274,42,9.6,OWNED,URBAN,MARRIED,MALE,GOOD
275,38,10.04,RENT,URBAN,SINGLE,FEMALE,GOOD
276,32,7.37,OWNED,RURAL,SINGLE,FEMALE,GOOD
277,36,5.92,OWNED,RURAL,MARRIED,MALE,BAD
278,43,4.51,OWNED,RURAL,MARRIED,FEMALE,GOOD
279,37,4.98,RENT,RURAL,MARRIED,MALE,BAD
280,41,4.48,OWNED,URBAN,MARRIED,FEMALE,GOOD
281,33,7.17,OTHERS,RURAL,MARRIED,FEMALE,BAD
282,38,12.58,RENT,RURAL,MARRIED,MALE,BAD
283,39,5.21,OWNED,RURAL,SINGLE,FEMALE,GOOD
284,36,9.21,PARENTS,RURAL,MARRIED,FEMALE,GOOD
285,40,4.77,OWNED,URBAN,MARRIED,FEMALE,GOOD
286,30,4.74,RENT,RURAL,MARRIED,MALE,BAD
287,46,5.94,OTHERS,RURAL,MARRIED,MALE,BAD
288,36,10.96,OWNED,URBAN,MARRIED,MALE,GOOD
289,40,8.38,RENT,URBAN,MARRIED,MALE,BAD
290,33,3.95,RENT,URBAN,MARRIED,MALE,BAD
291,38,10.28,RENT,URBAN,MARRIED,FEMALE,GOOD
292,40,6.45,OWNED,URBAN,MARRIED,MALE,GOOD
293,39,12.83,OWNED,RURAL,MARRIED,MALE,GOOD
294,41,6.83,OWNED,URBAN,MARRIED,FEMALE,BAD
295,43,15.25,RENT,URBAN,SINGLE,MALE,GOOD
296,41,4.65,RENT,RURAL,MARRIED,MALE,BAD
297,42,10.59,OWNED,RURAL,SINGLE,MALE,GOOD
298,47,6.89,OWNED,RURAL,MARRIED,FEMALE,GOOD
299,31,8.39,OWNED,URBAN,MARRIED,MALE,GOOD
300,36,6.96,OWNED,URBAN,MARRIED,MALE,BAD
301,41,8.79,OWNED,RURAL,MARRIED,MALE,GOOD
302,42,9.54,OWNED,URBAN,MARRIED,FEMALE,GOOD
303,41,4.56,OTHERS,RURAL,MARRIED,MALE,BAD
304,38,4.47,OWNED,URBAN,MARRIED,MALE,GOOD
305,36,8.03,OWNED,URBAN,MARRIED,MALE,GOOD
306,40,15.65,RENT,RURAL,MARRIED,MALE,BAD
307,42,7.22,OWNED,RURAL,MARRIED,MALE,GOOD
308,33,7.96,OWNED,RURAL,SINGLE,FEMALE,GOOD
309,50,10.58,OTHERS,URBAN,MARRIED,FEMALE,GOOD
310,38,4.72,OWNED,URBAN,MARRIED,MALE,BAD
311,44,5.58,PARENTS,RURAL,MARRIED,MALE,BAD
312,37,9.64,OWNED,RURAL,MARRIED,FEMALE,GOOD
313,37,4.42,PARENTS,RURAL,MARRIED,FEMALE,BAD
314,32,6.32,OWNED,URBAN,MARRIED,FEMALE,GOOD
315,38,3.99,OWNED,URBAN,MARRIED,MALE,BAD
316,40,8.76,PARENTS,RURAL,MARRIED,MALE,BAD
317,41,5.67,OWNED,RURAL,MARRIED,MALE,GOOD
318,52,7.84,OTHERS,RURAL,MARRIED,MALE,GOOD
319,42,9.9,OWNED,RURAL,MARRIED,FEMALE,GOOD
320,39,8.77,OTHERS,URBAN,MARRIED,MALE,GOOD
321,37,3.53,OTHERS,URBAN,MARRIED,MALE,BAD
322,47,6.42,OWNED,URBAN,MARRIED,MALE,GOOD
323,45,5.83,RENT,RURAL,MARRIED,FEMALE,BAD
324,39,8.84,OWNED,URBAN,MARRIED,MALE,GOOD
325,39,9.96,OWNED,URBAN,MARRIED,FEMALE,GOOD
326,36,4.26,RENT,URBAN,MARRIED,FEMALE,BAD
327,37,5.26,OWNED,RURAL,MARRIED,FEMALE,GOOD
328,38,5.75,PARENTS,URBAN,MARRIED,MALE,GOOD
329,36,7.44,OWNED,RURAL,MARRIED,MALE,GOOD
330,38,3.55,RENT,RURAL,MARRIED,MALE,BAD
331,42,5.87,OWNED,URBAN,MARRIED,FEMALE,GOOD
332,38,5.37,OWNED,RURAL,MARRIED,MALE,BAD
333,31,5.89,OWNED,RURAL,MARRIED,FEMALE,GOOD
334,46,9.76,OWNED,URBAN,MARRIED,FEMALE,GOOD
335,48,8.24,PARENTS,URBAN,MARRIED,FEMALE,GOOD
336,36,4.83,OWNED,RURAL,SINGLE,MALE,GOOD
337,48,8.08,OWNED,RURAL,MARRIED,MALE,GOOD
338,38,6.52,PARENTS,URBAN,MARRIED,FEMALE,GOOD
339,36,6.26,RENT,RURAL,SINGLE,FEMALE,GOOD
340,40,4.9,OWNED,URBAN,MARRIED,FEMALE,GOOD
341,38,11.97,PARENTS,URBAN,MARRIED,FEMALE,GOOD
342,39,7.07,PARENTS,URBAN,MARRIED,FEMALE,GOOD
343,55,5.41,OWNED,URBAN,MARRIED,MALE,BAD
344,36,11.42,RENT,URBAN,MARRIED,MALE,BAD
345,40,5.74,OWNED,URBAN,MARRIED,MALE,GOOD
346,44,3.99,OWNED,RURAL,MARRIED,FEMALE,GOOD
347,39,7.49,OWNED,URBAN,MARRIED,MALE,BAD
348,43,3.77,OWNED,URBAN,MARRIED,MALE,GOOD
349,40,6.29,PARENTS,RURAL,MARRIED,MALE,BAD
350,36,7.6,OWNED,URBAN,SINGLE,FEMALE,GOOD
351,33,10.04,RENT,RURAL,MARRIED,MALE,BAD
352,35,4.4,RENT,URBAN,MARRIED,MALE,BAD
353,37,4.14,RENT,URBAN,MARRIED,FEMALE,BAD
354,40,7.48,OWNED,URBAN,MARRIED,FEMALE,GOOD
355,36,6.49,PARENTS,RURAL,MARRIED,MALE,GOOD
356,37,7.33,RENT,URBAN,MARRIED,MALE,BAD
357,38,7.53,PARENTS,RURAL,MARRIED,FEMALE,BAD
358,39,5.31,OWNED,URBAN,MARRIED,MALE,GOOD
359,37,3.61,OWNED,URBAN,MARRIED,FEMALE,GOOD
360,40,7.23,OWNED,RURAL,MARRIED,FEMALE,GOOD
361,44,10.21,OTHERS,URBAN,MARRIED,MALE,GOOD
362,43,5.48,OWNED,RURAL,MARRIED,FEMALE,GOOD
363,37,13.09,OWNED,URBAN,MARRIED,MALE,GOOD
364,40,7.08,OWNED,URBAN,SINGLE,MALE,GOOD
365,41,13.15,PARENTS,URBAN,MARRIED,MALE,GOOD
366,41,12.82,RENT,URBAN,MARRIED,MALE,GOOD
367,40,4.82,PARENTS,RURAL,MARRIED,FEMALE,BAD
368,39,10.03,RENT,URBAN,MARRIED,MALE,BAD
369,38,3.89,RENT,RURAL,MARRIED,MALE,BAD
370,39,6.87,OWNED,URBAN,MARRIED,MALE,GOOD
371,38,4.88,OWNED,RURAL,MARRIED,FEMALE,GOOD
372,43,5.72,OWNED,RURAL,MARRIED,FEMALE,GOOD
373,39,6.58,OWNED,URBAN,MARRIED,FEMALE,BAD
374,42,5.82,RENT,URBAN,SINGLE,MALE,BAD
375,37,10.9,OTHERS,URBAN,MARRIED,MALE,GOOD
376,45,5.57,PARENTS,URBAN,MARRIED,MALE,BAD
377,44,6.63,OWNED,RURAL,SINGLE,MALE,GOOD
378,36,6.98,OWNED,RURAL,MARRIED,MALE,GOOD
379,45,5.65,PARENTS,URBAN,MARRIED,MALE,BAD
380,38,9.95,OWNED,URBAN,MARRIED,MALE,GOOD
381,36,7.65,OWNED,URBAN,MARRIED,FEMALE,GOOD
382,39,7.36,OWNED,RURAL,MARRIED,MALE,GOOD
383,40,9.92,OWNED,URBAN,MARRIED,MALE,GOOD
384,40,7.52,OWNED,URBAN,SINGLE,FEMALE,GOOD
385,33,5.79,OWNED,URBAN,MARRIED,MALE,BAD
386,41,3.95,OWNED,RURAL,MARRIED,FEMALE,GOOD
387,41,4.9,PARENTS,URBAN,MARRIED,FEMALE,BAD
388,45,5.81,OWNED,RURAL,MARRIED,MALE,GOOD
389,36,3.52,OWNED,URBAN,SINGLE,FEMALE,GOOD
390,53,5.73,RENT,RURAL,MARRIED,MALE,BAD
391,36,6.96,OWNED,URBAN,MARRIED,MALE,GOOD
392,36,7.93,PARENTS,URBAN,MARRIED,FEMALE,GOOD
393,34,3.93,OWNED,URBAN,MARRIED,MALE,BAD
394,38,7.91,OWNED,RURAL,MARRIED,MALE,GOOD
395,36,4.6,PARENTS,URBAN,MARRIED,FEMALE,BAD
396,47,9.31,OWNED,URBAN,MARRIED,FEMALE,GOOD
397,41,3.78,OWNED,RURAL,SINGLE,MALE,GOOD
398,30,5.14,OWNED,RURAL,MARRIED,MALE,BAD
399,38,3.8,OWNED,URBAN,MARRIED,FEMALE,GOOD
400,39,7.12,OWNED,RURAL,MARRIED,FEMALE,GOOD
401,40,4.51,RENT,URBAN,MARRIED,MALE,BAD
402,46,8.93,RENT,RURAL,MARRIED,MALE,BAD
403,42,7.55,OWNED,URBAN,MARRIED,MALE,GOOD
404,29,6.51,OWNED,RURAL,SINGLE,MALE,GOOD
405,49,7.2,RENT,RURAL,MARRIED,MALE,BAD
406,44,7.05,RENT,RURAL,MARRIED,MALE,BAD
407,38,14.77,OWNED,URBAN,MARRIED,MALE,GOOD
408,42,6.75,OWNED,URBAN,MARRIED,MALE,GOOD
409,43,8.11,OWNED,RURAL,MARRIED,MALE,GOOD
410,38,9.5,OWNED,RURAL,MARRIED,FEMALE,GOOD
411,38,7.89,PARENTS,RURAL,MARRIED,MALE,BAD
412,40,3.77,OWNED,URBAN,MARRIED,MALE,BAD
413,40,4.95,OWNED,URBAN,MARRIED,FEMALE,GOOD
414,32,4.59,OWNED,URBAN,MARRIED,MALE,BAD
415,34,8.08,OWNED,URBAN,MARRIED,MALE,GOOD
416,47,4.74,OWNED,RURAL,MARRIED,MALE,GOOD
417,43,6,RENT,URBAN,MARRIED,FEMALE,GOOD
